time,static_pressure,total_pressure
6.851,71998.500000,97856.206338
6.861,71978.600000,97789.189759
6.871,71958.800000,97722.327915
6.881,71938.900000,97655.425845
6.891,71919.000000,97588.578412
6.901,71899.200000,97522.124567
6.911,71879.400000,97455.488572
6.921,71859.600000,97389.148106
6.931,71839.800000,97322.861613
6.941,71820.000000,97256.631566
6.951,71800.300000,97190.555404
6.961,71780.500000,97124.438094
6.971,71760.800000,97058.709355
6.981,71741.100000,96992.801842
6.991,71721.400000,96927.182334
7.001,71701.700000,96861.620985
7.011,71682.100000,96796.212768
7.021,71662.400000,96730.757645
7.031,71642.800000,96665.460521
7.041,71623.200000,96600.449511
7.051,71603.600000,96535.260575
7.061,71584.000000,96470.359653
7.071,71564.500000,96405.611126
7.081,71544.900000,96340.817406
7.091,71525.400000,96276.178443
7.101,71505.900000,96211.825884
7.111,71486.400000,96147.293610
7.121,71466.900000,96083.047178
7.131,71447.400000,96018.623848
7.141,71428.000000,95954.583364
7.151,71408.500000,95890.496883
7.161,71389.100000,95826.564355
7.171,71369.700000,95762.913376
7.181,71350.300000,95699.088375
7.191,71330.900000,95635.544367
7.201,71311.600000,95571.921898
7.211,71292.200000,95508.484672
7.221,71272.900000,95445.198254
7.231,71253.600000,95381.962608
7.241,71234.300000,95319.010893
7.251,71215.000000,95255.881199
7.261,71195.700000,95193.032492
7.271,71176.500000,95130.106189
7.281,71157.200000,95067.362689
7.291,71138.000000,95004.766880
7.301,71118.800000,94942.225808
7.311,71099.600000,94879.961527
7.321,71080.500000,94817.622483
7.331,71061.300000,94755.462036
7.341,71042.100000,94693.124849
7.351,71023.000000,94631.165713
7.361,71003.900000,94569.258221
7.371,70984.800000,94507.399999
7.381,70965.700000,94445.595657
7.391,70946.700000,94384.163169
7.401,70927.600000,94322.459249
7.411,70908.600000,94261.128970
7.421,70889.600000,94199.849613
7.431,70870.500000,94138.294748
7.441,70851.600000,94077.215028
7.451,70832.600000,94016.309730
7.461,70813.600000,93955.229029
7.471,70794.700000,93894.299035
7.481,70775.700000,93833.542653
7.491,70756.800000,93772.936435
7.501,70737.900000,93712.155554
7.511,70719.100000,93651.747481
7.521,70700.200000,93591.509231
7.531,70681.300000,93531.098696
7.541,70662.500000,93470.838111
7.551,70643.700000,93410.846560
7.561,70624.900000,93350.683267
7.571,70606.100000,93290.790733
7.581,70587.300000,93230.945286
7.591,70568.500000,93171.149131
7.601,70549.800000,93111.502223
7.611,70531.000000,93051.802286
7.621,70512.300000,92992.471343
7.631,70493.600000,92932.969469
7.641,70474.900000,92873.733838
7.651,70456.300000,92814.646803
7.661,70437.600000,92755.506108
7.671,70419.000000,92696.516136
7.681,70400.300000,92637.470219
7.691,70381.700000,92578.574936
7.701,70363.100000,92519.725840
7.711,70344.600000,92461.242936
7.721,70326.000000,92402.705708
7.731,70307.400000,92344.216307
7.741,70288.900000,92285.657499
7.751,70270.400000,92227.361664
7.761,70251.900000,92169.330287
7.771,70233.400000,92111.127430
7.781,70214.900000,92052.972197
7.791,70196.400000,91995.080648
7.801,70178.000000,91937.334045
7.811,70159.600000,91879.418843
7.821,70141.100000,91821.666550
7.831,70122.700000,91764.059095
7.841,70104.600000,91707.013606
7.851,70087.100000,91650.399786
7.861,70069.700000,91593.930694
7.871,70052.200000,91537.620670
7.881,70034.800000,91481.244976
7.891,70017.400000,91425.127844
7.901,70000.100000,91369.154868
7.911,69982.700000,91313.128135
7.921,69965.300000,91257.147602
7.931,69948.000000,91201.526312
7.941,69930.700000,91145.735735
7.951,69913.400000,91089.989138
7.961,69896.100000,91034.501033
7.971,69878.800000,90979.058508
7.981,69861.500000,90923.659430
7.991,69844.200000,90868.305856
8.001,69827.000000,90813.097744
8.011,69809.800000,90757.932975
8.021,69792.600000,90702.813593
8.031,69775.400000,90647.948444
8.041,69758.200000,90592.917437
8.051,69741.000000,90538.142237
8.061,69723.800000,90483.409785
8.071,69706.700000,90428.822107
8.081,69689.600000,90374.277110
8.091,69672.400000,90319.676813
8.101,69655.300000,90265.221177
8.111,69638.200000,90210.808117
8.121,69621.200000,90156.748709
8.131,69604.100000,90102.422537
8.141,69587.100000,90048.449524
8.151,69570.000000,89994.418537
8.161,69553.000000,89940.531572
8.171,69536.000000,89886.688589
8.181,69519.000000,89832.887531
8.191,69502.000000,89779.130382
8.201,69485.100000,89725.722489
8.211,69468.100000,89672.050829
8.221,69451.200000,89618.727944
8.231,69434.200000,89565.350411
8.241,69417.300000,89511.905620
8.251,69400.400000,89458.710884
8.261,69383.500000,89405.559388
8.271,69366.700000,89352.551094
8.281,69349.800000,89299.687739
8.291,69333.000000,89246.763551
8.301,69316.100000,89193.985811
8.311,69299.300000,89141.145593
8.321,69282.500000,89088.551348
8.331,69265.700000,89035.999682
8.341,69249.000000,88983.588594
8.351,69232.200000,88931.120014
8.361,69215.400000,88878.691951
8.371,69198.700000,88826.406326
8.381,69182.000000,88774.366798
8.391,69165.300000,88722.163788
8.401,69148.600000,88670.204457
